a,z,ticker,symbol,tf,datetime,time,open,high,low,close,tick_volume,spread,real_volume,mean_volume
1,-122,MGC,MGCZ6,D1,2016-08-01,1470009600,1359.1,1361.6,1359.1,1359.7,208,0,215,215.0
2,-121,MGC,MGCZ6,D1,2016-08-02,1470096000,1359.7,1374.1,1353.8,1369.8,2501,0,2239,1227.0
3,-120,MGC,MGCZ6,D1,2016-08-03,1470182400,1369.3,1373.6,1360.7,1362.5,2299,0,2200,1551.0
4,-119,MGC,MGCZ6,D1,2016-08-04,1470268800,1362.6,1371.7,1355.3,1366.7,2748,0,2350,2263.0
5,-118,MGC,MGCZ6,D1,2016-08-05,1470355200,1366.7,1371.2,1340.6,1341.5,3448,0,3026,2525.0
6,-117,MGC,MGCZ6,D1,2016-08-07,1470528000,1338.5,1340.9,1337.0,1339.3,264,0,130,1835.0
7,-116,MGC,MGCZ6,D1,2016-08-08,1470614400,1339.0,1343.7,1335.5,1341.5,1503,0,1330,1495.0
8,-115,MGC,MGCZ6,D1,2016-08-09,1470700800,1342.5,1348.8,1336.2,1347.9,1702,0,1410,957.0
9,-114,MGC,MGCZ6,D1,2016-08-10,1470787200,1347.5,1363.3,1347.4,1353.0,2619,0,2210,1650.0
10,-113,MGC,MGCZ6,D1,2016-08-11,1470873600,1353.2,1359.2,1341.0,1345.5,2439,0,2100,1907.0
11,-112,MGC,MGCZ6,D1,2016-08-12,1470960000,1344.8,1362.3,1338.5,1341.6,3588,0,2702,2337.0
12,-111,MGC,MGCZ6,D1,2016-08-14,1471132800,1343.2,1345.0,1342.0,1344.8,182,0,101,1634.0
13,-110,MGC,MGCZ6,D1,2016-08-15,1471219200,1344.5,1349.2,1340.7,1346.8,1304,0,1086,1296.0
14,-109,MGC,MGCZ6,D1,2016-08-16,1471305600,1346.5,1366.0,1346.5,1353.0,3369,0,2672,1286.0
15,-108,MGC,MGCZ6,D1,2016-08-17,1471392000,1353.2,1358.2,1340.0,1357.7,2858,0,1886,1881.0
16,-107,MGC,MGCZ6,D1,2016-08-18,1471478400,1357.6,1361.5,1351.3,1354.3,2151,0,1901,2153.0
17,-106,MGC,MGCZ6,D1,2016-08-19,1471564800,1355.1,1355.6,1342.0,1345.9,2593,0,2422,2070.0
18,-105,MGC,MGCZ6,D1,2016-08-21,1471737600,1340.0,1345.5,1338.7,1341.4,485,0,227,1517.0
19,-104,MGC,MGCZ6,D1,2016-08-22,1471824000,1341.4,1344.0,1335.7,1341.8,1944,0,1761,1470.0
20,-103,MGC,MGCZ6,D1,2016-08-23,1471910400,1341.4,1348.8,1339.1,1342.0,1594,0,1424,1137.0
21,-102,MGC,MGCZ6,D1,2016-08-24,1471996800,1341.8,1344.0,1326.9,1329.4,2248,0,2003,1729.0
22,-101,MGC,MGCZ6,D1,2016-08-25,1472083200,1329.0,1330.0,1321.1,1325.2,1701,0,1546,1658.0
23,-100,MGC,MGCZ6,D1,2016-08-26,1472169600,1325.8,1345.8,1321.5,1324.4,4487,0,3248,2266.0
24,-99,MGC,MGCZ6,D1,2016-08-28,1472342400,1323.7,1324.7,1321.6,1323.5,143,0,119,1638.0
25,-98,MGC,MGCZ6,D1,2016-08-29,1472428800,1324.0,1328.4,1310.9,1327.0,1931,0,1495,1621.0
26,-97,MGC,MGCZ6,D1,2016-08-30,1472515200,1327.3,1328.7,1311.6,1315.6,2011,0,1790,1135.0
27,-96,MGC,MGCZ6,D1,2016-08-31,1472601600,1315.1,1319.0,1307.1,1313.4,2113,0,1877,1721.0
28,-95,MGC,MGCZ6,D1,2016-09-01,1472688000,1312.5,1318.5,1305.5,1318.1,2334,0,1951,1873.0
29,-94,MGC,MGCZ6,D1,2016-09-02,1472774400,1318.1,1334.8,1308.1,1327.6,3748,0,2223,2017.0
30,-93,MGC,MGCZ6,D1,2016-09-04,1472947200,1326.8,1329.1,1326.3,1326.4,117,0,51,1408.0
31,-92,MGC,MGCZ6,D1,2016-09-05,1473033600,1326.8,1332.3,1325.5,1331.2,651,0,513,929.0
32,-91,MGC,MGCZ6,D1,2016-09-06,1473120000,1330.8,1357.0,1328.8,1353.9,2493,0,2152,905.0
33,-90,MGC,MGCZ6,D1,2016-09-07,1473206400,1354.1,1357.3,1345.0,1350.2,2098,0,1679,1448.0
34,-89,MGC,MGCZ6,D1,2016-09-08,1473292800,1348.8,1353.7,1339.3,1341.2,2158,0,1623,1818.0
35,-88,MGC,MGCZ6,D1,2016-09-09,1473379200,1341.8,1343.3,1331.0,1331.2,1850,0,1571,1624.0
36,-87,MGC,MGCZ6,D1,2016-09-11,1473552000,1331.4,1333.2,1331.2,1333.1,107,0,104,1099.0
37,-86,MGC,MGCZ6,D1,2016-09-12,1473638400,1332.3,1334.1,1323.9,1334.1,2207,0,1706,1127.0
38,-85,MGC,MGCZ6,D1,2016-09-13,1473724800,1333.4,1335.6,1317.1,1325.0,2071,0,1499,1103.0
39,-84,MGC,MGCZ6,D1,2016-09-14,1473811200,1323.9,1329.6,1319.3,1326.6,1576,0,1346,1517.0
40,-83,MGC,MGCZ6,D1,2016-09-15,1473897600,1326.2,1332.0,1312.3,1320.1,2749,0,2195,1680.0
41,-82,MGC,MGCZ6,D1,2016-09-16,1473984000,1320.2,1321.4,1309.4,1313.4,1847,0,1468,1670.0
42,-81,MGC,MGCZ6,D1,2016-09-18,1474156800,1314.3,1315.8,1312.7,1314.6,118,0,105,1256.0
43,-80,MGC,MGCZ6,D1,2016-09-19,1474243200,1314.1,1322.0,1312.9,1317.4,1427,0,1200,924.0
